Scope	ID	Key	Value
pept	gene:11529	PKO-c	unaf
pept	gene:11529	PKO-r	1
pept	gene:11532	PKO-c	unaf
pept	gene:11532	PKO-r	1
pept	gene:11534	PKO-c	unaf
pept	gene:11534	PKO-r	1
pept	gene:11564	PKO-c	leth
pept	gene:11564	PKO-r	0
pept	gene:11565	PKO-c	unaf
pept	gene:11565	PKO-r	1
pept	gene:11566	PKO-c	unaf
pept	gene:11566	PKO-r	1
pept	gene:11611	PKO-c	unaf
pept	gene:11611	PKO-r	1
pept	gene:11628	PKO-c	unaf
pept	gene:11628	PKO-r	1
pept	gene:11636	PKO-c	unaf
pept	gene:11636	PKO-r	1
pept	gene:11637	PKO-c	unaf
pept	gene:11637	PKO-r	1
pept	gene:11655	PKO-c	unaf
pept	gene:11655	PKO-r	1
pept	gene:11656	PKO-c	unaf
pept	gene:11656	PKO-r	1
pept	gene:11668	PKO-c	unaf
pept	gene:11668	PKO-r	1
pept	gene:11669	PKO-c	unaf
pept	gene:11669	PKO-r	1
pept	gene:11670	PKO-c	unaf
pept	gene:11670	PKO-r	1
pept	gene:11671	PKO-c	unaf
pept	gene:11671	PKO-r	1
pept	gene:11674	PKO-c	unaf
pept	gene:11674	PKO-r	1
pept	gene:11676	PKO-c	unaf
pept	gene:11676	PKO-r	1
pept	gene:11677	PKO-c	unaf
pept	gene:11677	PKO-r	1
pept	gene:116914	PKO-c	unaf
pept	gene:116914	PKO-r	1
pept	gene:11702	PKO-c	unaf
pept	gene:11702	PKO-r	1
pept	gene:117150	PKO-c	unaf
pept	gene:117150	PKO-r	1
pept	gene:11717	PKO-c	unaf
pept	gene:11717	PKO-r	1
pept	gene:11720	PKO-c	unaf
pept	gene:11720	PKO-r	1
pept	gene:11739	PKO-c	unaf
pept	gene:11739	PKO-r	1
pept	gene:11740	PKO-c	unaf
pept	gene:11740	PKO-r	1
pept	gene:11754	PKO-c	unaf
pept	gene:11754	PKO-r	1
pept	gene:11757	PKO-c	unaf
pept	gene:11757	PKO-r	1
pept	gene:117591	PKO-c	unaf
pept	gene:117591	PKO-r	1
pept	gene:11821	PKO-c	unaf
pept	gene:11821	PKO-r	1
pept	gene:11846	PKO-c	unaf
pept	gene:11846	PKO-r	1
pept	gene:11847	PKO-c	unaf
pept	gene:11847	PKO-r	1
pept	gene:11886	PKO-c	unaf
pept	gene:11886	PKO-r	1
pept	gene:11898	PKO-c	unaf
pept	gene:11898	PKO-r	1
pept	gene:11928	PKO-c	unaf
pept	gene:11928	PKO-r	1
pept	gene:11931	PKO-c	unaf
pept	gene:11931	PKO-r	1
pept	gene:11932	PKO-c	unaf
pept	gene:11932	PKO-r	1
pept	gene:11933	PKO-c	unaf
pept	gene:11933	PKO-r	1
pept	gene:11944	PKO-c	unaf
pept	gene:11944	PKO-r	1
pept	gene:11945	PKO-c	unaf
pept	gene:11945	PKO-r	1
pept	gene:11964	PKO-c	unaf
pept	gene:11964	PKO-r	1
pept	gene:11966	PKO-c	unaf
pept	gene:11966	PKO-r	1
pept	gene:11972	PKO-c	unaf
pept	gene:11972	PKO-r	1
pept	gene:11973	PKO-c	unaf
pept	gene:11973	PKO-r	1
pept	gene:11974	PKO-c	unaf
pept	gene:11974	PKO-r	1
pept	gene:11975	PKO-c	unaf
pept	gene:11975	PKO-r	1
pept	gene:11980	PKO-c	unaf
pept	gene:11980	PKO-r	1
pept	gene:11982	PKO-c	unaf
pept	gene:11982	PKO-r	1
