Source	Sid	Equa
RETH1	R262242BA	MNXR104000
RNDR1	R26362FF0	MNXR104060
MI1P_Dtn	R2661DB90	MNXR101573
PYDXPP	R266F0806	MNXR103368
EX_pydxn_LPAREN_e_RPAREN_	R268D4601	MNXR98894
GCHOLAte	R26CF444F	MNXR100073
FTHFL	R26E4280E	MNXR99672
IMPC	R26F0C5C0	MNXR100783
CATp	R2708BDA7	MNXR96455
PHETHPTOX2	R2738809E	MNXR102633
METAT	R276A6E5E	MNXR101407
CRVNCtr	R27748B60	MNXR96919
C180CRNt	R277DD8F5	MNXR96394
UMPK2n	R278742B	MNXR105119
DUTPDPn	R27D5442B	MNXR97822
ARTCOAL1	R28015865	MNXR95966
VALtec	R2801DC40	MNXR105190
ADK1	R28766662	MNXR95450
DALAt2r	R2895F94E	MNXR97135
UMPK	R28BF4A7E	MNXR105118
MALSO4tm	R28C1B94	MNXR101349
HISt4	R28F40B30	MNXR100646
"P5CRx;PRO1x"	R291B7F16	MNXR102303
VALt5m	R29BFCA7D	MNXR105190
MDH	R29CE564	MNXR101439
GHMT2rm	R29EE4FAC	MNXR100142
ACACT1rm	R2A0BE2AF	MNXR95194
GLNS	R2A514FF5	MNXR100024
METt4	R2A5C6CA8	MNXR101492
SMPD3l	R2AFE0436	MNXR104449
EX_hco3_LPAREN_e_RPAREN_	R2B1983B3	MNXR98639
H2O2tm	R2B429964	MNXR98640
DMGtm	R2B5FFA9E	MNXR97519
SO4t4_2	R2B73E04	MNXR104467
FAOXC226	R2B8A2FB6	MNXR99355
FOLR2	R2B98DD1C	MNXR97400
GLCAASE8ly	R2BA65F2	MNXR100162
SLDx	R2BA9A1B5	MNXR104442
Htx	R2BC0B13	MNXR100765
TMDK1m	R2BD7CDB8	MNXR104885
NRPPHRt4_LPAREN_2_RPAREN_r	R2BDAD51D	MNXR102018
CLHCO3tex2	R2BFBC930	MNXR96763
FATP2t	R2C00D4E6	MNXR99451
FORt2m	R2C1D1605	MNXR99620
"LALDD;LALDO2"	R2C35E4E1	MNXR101007
C161CPT1	R2C4DDC17	MNXR96387
MMEm	R2D175B4	MNXR101657
PAIL_HStn	R2D1E7CE0	MNXR102336
PUNP6	R2D816E14	MNXR103348
FALDtm	R2D896436	MNXR99238
CYTK3n	R2D96CE70	MNXR97054
ECOAH9m	R2D9C067	MNXR97894
"DNDPt17m;DNDPt26m"	R2DA4B80A	MNXR97635
EX_34dhoxpeg_LPAREN_e_RPAREN_	R2E10638B	MNXR98026
PMEVKx	R2E3CC03B	MNXR103043
G6PDH2rer	R2E4EE2FE	MNXR99907
CSNATm	R2E6206DB	MNXR96926
NOt	R2E646885	MNXR101998
NADH2_u10m	R2E88BA84	MNXR101867
NADPHtxu	R2E9E1875	MNXR101894
FTCD	R2F10B756	MNXR99667
LGNCCOAtx	R2F145401	MNXR101062
UNK3	R2F995547	MNXR95923
KYN3OX	R2FC0C278	MNXR100947
MI14Ptn	R2FE29CBE	MNXR101569
GLXtp	R30029437	MNXR100306
RTOTAL2CRNt	R307276E1	MNXR104100
TYROXDAc	R30BE1921	MNXR104996
HMGLx	R318778B	MNXR100662
GMPR	R319FC596	MNXR100382
HMGLm	R31A9AA94	MNXR100662
FAOXC2242046x	R32138C6A	MNXR99350
DM_ethamp_LPAREN_RPAREN_	R322274C4	MNXR97581
CSm	R323046BA	MNXR96920
BTNt2	R32820AD8	MNXR96334
DHPR	R3296B67B	MNXR97436
AGPAT1	R32CB447	MNXR95557
GHMT2r	R33AD4AE6	MNXR100142
ACETONEt2m	R33CAD668	MNXR95230
INSt5	R33EA4607	MNXR100852
GLYCTO1p	R33F7469F	MNXR100338
DNDPt40m	R340B4094	MNXR97653
DNDPt53m	R340DF510	MNXR97666
RTOTALCRNt	R3446B5B	MNXR104108
ASNCYSNaEx	R3477694B	MNXR96054
GLCt2r	R3492D883	MNXR100238
DHORTS	R34D3BC42	MNXR97428
BAMPPALDOX	R35402C75	MNXR95891
OCDCEAtr	R35B2A8B5	MNXR99110
EX_chol_LPAREN_e_RPAREN_	R35B5C04C	MNXR98339
PGPPT	R35B9D4CA	MNXR102578
GLYAMDTRc	R35CE1851	MNXR100312
LYStip	R35E67941	MNXR101269
THRt4	R35E6A0D9	MNXR104842
THMTPt	R363D010	MNXR104826
URATEt	R365A4E47	MNXR105145
ACS	R3662C7FC	MNXR95413
MTHFD2m	R36889B73	MNXR101750
DNDPt47m	R3689E94B	MNXR97660
GUAPRT	R36C11FB5	MNXR100409
ALACYSNaEx	R37046E17	MNXR95683
C226CPT2	R3709DA2F	MNXR96403
SUCOASm	R374BFC91	MNXR104635
R375A3B99	R375A3B99	MNXR135489
ME2	R376B95D9	MNXR101443
C161CPT2	R37929526	MNXR96387
ACOm	R38118862	MNXR95386
HMGCOAtm	R38797A1E	MNXR100661
DHCR241r	R387DC34C	MNXR97380
EX_5mthf_LPAREN_e_RPAREN_	R3922352D	MNXR98085
ALAtN1	R398F8566	MNXR95705
LEUTA	R39997F27	MNXR96229
ELAIDt	R39EB3FD	MNXR97915
HDCAter	R3A559AD1	MNXR99101
TCHOLAte	R3ABC4543	MNXR104745
NDPK3	R3B0400F0	MNXR101936
ARTPLM2	R3B59CC2C	MNXR96036
FBA2	R3B6C5584	MNXR99460
VALTAm	R3BA91201	MNXR96230
PGL	R3BABACC5	MNXR102539
ACt2m	R3BBF9908	MNXR95429
S6TASE8ly	R3C18E285	MNXR104233
DNADtn	R3C1D3F41	MNXR97625
GLCt4	R3C291B11	MNXR100240
PPPGOm	R3C93D042	MNXR103128
GLNtN1	R3CC812F0	MNXR100263
GALT	R3CDDF57	MNXR100014
FAOXC2252053x	R3CEC3B19	MNXR99352
CYTK11n	R3D23A812	MNXR97049
CRNCAR3tp	R3D81F1FE	MNXR96897
GULLACter	R3DD193FD	MNXR100470
GLCMter	R3DE8B787	MNXR100188
"DNDPt11m;DNDPt35m"	R3E2499D8	MNXR97629
FPGS7m	R3E7B4D46	MNXR99630
ABUTD	R3E8AF7E7	MNXR95191
DNDPt54m	R3EAD8FA4	MNXR97667
GCC2cm	R3F2AE76A	MNXR100066
CYSSERNaEx	R3F85B7B8	MNXR97009
NADK	R3FB7A5C0	MNXR101882
TMDK1	R3FBBF52	MNXR104885
ALR	R401590DE	MNXR95787
GCCcm	R401E30B1	MNXR100069
GLCtg	R4026C48	MNXR100188
UPP3S	R40D1D1F	MNXR105139
PA_HSter	R4142BEA3	MNXR102388
FKYNH	R4269EB94	MNXR99596
SUCCt2m	R428800AF	MNXR104626
13DAMPPOX	R42E59AB7	MNXR94687
3SPYRSPm	R42ED7A50	MNXR94981
GLCURtly	R432087BE	MNXR100234
URCN	R433748A3	MNXR105150
PGM	R435A649E	MNXR102547
"ACACT1;ACACT1r"	R43732CB3	MNXR95194
RETH	R43D72B69	MNXR103999
PUNP1	R44757C01	MNXR103343
ARTPLM2m	R4479FF1C	MNXR96036
PI4PLCn	R448277CE	MNXR102790
GLCAASE9ly	R44DA2A1	MNXR100163
RTOT3	R451AA907	MNXR104091
THRALANaEx	R452629E6	MNXR104835
GK1	R455A49C3	MNXR100144
